texto,tipo,gravidade,origem
meu companheiro me chama de idiota quando não concorda comigo,moral,media,violencia_2000
ele me ameaçou divulgar fotos se eu não continuasse tendo relações com ele,sexual,alta,violencia_2000
meu marido me arrastou pelo cabelo pela casa toda,fisica,alta,violencia_2000
meu marido me prendeu pelo pescoço contra a parede,fisica,alta,violencia_2000
meu namorado fica com ciúme quando recebo elogios de colegas de trabalho,psicologica,baixa,violencia_2000
meu marido me queimou com ferro de passar roupa,fisica,alta,violencia_2000
ele fica verificando meu histórico de mensagens sem autorização,psicologica,media,violencia_2000
"ele me puxou os cabelos, me mantém sem dinheiro e me proíbe de ver minha mãe",mista,media,violencia_2000
meu companheiro me xinga de feia e burra regularmente,moral,media,violencia_2000
meu companheiro me deu um chute no rosto,fisica,alta,violencia_2000
ele me impediu de ir ao banco retirar meu próprio dinheiro,patrimonial,media,violencia_2000
meu companheiro me bateu com cabo de vassoura,fisica,alta,violencia_2000
meu companheiro reclama quando compro algo por impulso,patrimonial,baixa,violencia_2000
"ele me controla com quem falo, não me dá dinheiro e me deu uma bofetada semana passada",mista,media,violencia_2000
ele me chama de frígida quando não quero ter relações,sexual,media,violencia_2000
meu companheiro me violentou sexualmente dizendo que eu lhe pertencia,sexual,alta,violencia_2000
ele faz comentários sobre minha criação que me deixam mal,moral,baixa,violencia_2000
meu marido me pressiona a aceitar coisas que não me sinto bem,sexual,baixa,violencia_2000
meu marido me obrigou a ter relações em troca de não me deixar sem comida,sexual,alta,violencia_2000
meu namorado exige saber onde estou a cada hora,psicologica,media,violencia_2000
meu companheiro faz comentários sobre meu estilo de vida que me incomodam,moral,baixa,violencia_2000
ele vendeu a roça onde plantávamos para nos sustentar,patrimonial,alta,violencia_2000
meu companheiro me obrigou a participar de práticas sexuais que me traumatizaram,sexual,alta,violencia_2000
meu companheiro me jogou no chão e pisou no meu rosto,fisica,alta,violencia_2000
ele me obriga a fazer coisas que eu não quero na cama,sexual,alta,violencia_2000
meu marido me ameaça dizendo que vai me desfigurar,psicologica,alta,violencia_2000
"meu marido me empurrou com força, me diminui constantemente e me mantém dependente",mista,media,violencia_2000
meu marido me caluniou dizendo que abandono os filhos regularmente,moral,alta,violencia_2000
ele me filmou enquanto eu dormi e disse que era porque me amava,sexual,alta,violencia_2000
meu companheiro quer ver nota fiscal de todas as compras do supermercado,patrimonial,baixa,violencia_2000
ele pegou todo o dinheiro do enxoval que eu tinha guardado,patrimonial,alta,violencia_2000
ele me impede de ter emprego para que eu dependa dele,patrimonial,media,violencia_2000
meu marido fica com a senha de todos os serviços financeiros,patrimonial,media,violencia_2000
