"texto","categoria","severidade"
"meu marido diz que por eu ser trans eu nunca vou ser suficiente","violencia_psicologica","leve"
"ele fala que sou homem e que nunca vou mudar isso","violencia_psicologica","leve"
"meu companheiro fica dizendo que travesti não é mulher de verdade","violencia_psicologica","leve"
"ele ri da minha voz e fala que sou ridícula de me achar mulher","violencia_psicologica","leve"
"ele diz que ninguém vai me querer porque sou trans","violencia_psicologica","leve"
"meu parceiro fala que minha família vai me abandonar quando souber que sou travesti","violencia_psicologica","leve"
"ele sempre compara meu corpo com o de mulheres cis e diz que eu sou inferior","violencia_psicologica","leve"
"ele diz que minha transição foi um erro e que nunca vou ser feliz assim","violencia_psicologica","leve"
"meu marido fala que me aceita mas fica humilhando minha identidade toda hora","violencia_psicologica","leve"
"ele diz que ser trans é doença e que eu preciso de internação","violencia_psicologica","leve"
"ele me chama pelo meu nome de registro masculino de propósito pra me humilhar","violencia_psicologica","moderada"
"meu parceiro usa meu nome antigo na frente de outras pessoas pra me envergonhar","violencia_psicologica","moderada"
"ele diz que vai contar pra minha família que sou trans se eu não fizer o que ele quer","violencia_psicologica","moderada"
"ele ameaça me expor como travesti no trabalho se eu tentar sair de casa","violencia_psicologica","moderada"
"meu companheiro proíbe eu de usar maquiagem ou roupa feminina dentro de casa","violencia_psicologica","moderada"
"ele me diz que sem ele eu não seria nada porque nenhum homem ficaria com uma trans","violencia_psicologica","moderada"
"ele esconde meus hormônios e diz que só me devolve se eu obedecer","violencia_psicologica","moderada"
"meu marido diz que vai revelar que sou trans aos meus filhos para me prejudicar","violencia_psicologica","moderada"
"ele ameaça me internar em clínica psiquiátrica dizendo que ser trans é loucura","violencia_psicologica","moderada"
"ele usa minha identidade trans pra me chantagear constantemente","violencia_psicologica","moderada"
"ele me tranca em casa e diz que nenhuma travesti merece sair porque é vergonha","violencia_psicologica","grave"
"meu parceiro ameaça me matar e diz que trans não tem direito de viver","violencia_psicologica","grave"
"ele disse que se eu tentar ir à defensoria ele vai me expor publicamente como trans","violencia_psicologica","grave"
"ele me isola de todas as minhas amigas trans e diz que elas me corrompem","violencia_psicologica","grave"
"meu companheiro diz que se eu denunciar ele vai contar pra todo mundo que sou travesti e destruir minha vida","violencia_psicologica","grave"
