texto,tipo,gravidade
meu companheiro me chama de idiota quando não concorda comigo,moral,media
ele me ameaçou divulgar fotos se eu não continuasse tendo relações com ele,sexual,alta
meu marido me arrastou pelo cabelo pela casa toda,fisica,alta
meu marido me prendeu pelo pescoço contra a parede,fisica,alta
meu namorado fica com ciúme quando recebo elogios de colegas de trabalho,psicologica,baixa
meu marido me queimou com ferro de passar roupa,fisica,alta
ele fica verificando meu histórico de mensagens sem autorização,psicologica,media
"ele me puxou os cabelos, me mantém sem dinheiro e me proíbe de ver minha mãe",mista,media
meu companheiro me xinga de feia e burra regularmente,moral,media
meu companheiro me deu um chute no rosto,fisica,alta
ele me impediu de ir ao banco retirar meu próprio dinheiro,patrimonial,media
meu companheiro me bateu com cabo de vassoura,fisica,alta
meu companheiro reclama quando compro algo por impulso,patrimonial,baixa
"ele me controla com quem falo, não me dá dinheiro e me deu uma bofetada semana passada",mista,media
ele me chama de frígida quando não quero ter relações,sexual,media
meu companheiro me violentou sexualmente dizendo que eu lhe pertencia,sexual,alta
ele faz comentários sobre minha criação que me deixam mal,moral,baixa
meu marido me pressiona a aceitar coisas que não me sinto bem,sexual,baixa
meu marido me obrigou a ter relações em troca de não me deixar sem comida,sexual,alta
meu namorado exige saber onde estou a cada hora,psicologica,media
meu companheiro faz comentários sobre meu estilo de vida que me incomodam,moral,baixa
ele vendeu a roça onde plantávamos para nos sustentar,patrimonial,alta
meu companheiro me obrigou a participar de práticas sexuais que me traumatizaram,sexual,alta
meu companheiro me jogou no chão e pisou no meu rosto,fisica,alta
ele me obriga a fazer coisas que eu não quero na cama,sexual,alta
meu marido me ameaça dizendo que vai me desfigurar,psicologica,alta
"meu marido me empurrou com força, me diminui constantemente e me mantém dependente",mista,media
meu marido me caluniou dizendo que abandono os filhos regularmente,moral,alta
ele me filmou enquanto eu dormi e disse que era porque me amava,sexual,alta
meu companheiro quer ver nota fiscal de todas as compras do supermercado,patrimonial,baixa
ele pegou todo o dinheiro do enxoval que eu tinha guardado,patrimonial,alta
ele me impede de ter emprego para que eu dependa dele,patrimonial,media
meu marido fica com a senha de todos os serviços financeiros,patrimonial,media
meu companheiro me segurou para que eu não pudesse falar ao telefone,fisica,baixa
ele me diz que vai contar segredos meus para minha família se eu não obedecer,psicologica,media
ele conta para os amigos situações que me deixam constrangida,moral,baixa
ele me proíbe de usar certos tipos de roupa,psicologica,media
meu marido não gosta quando saio com minhas amigas,psicologica,baixa
ele me xinga na frente dos meus pais quando fica irritado,moral,media
ele me torceu o braço para trás até eu gritar de dor,fisica,media
meu companheiro criou site falso com meu nome para me difamar,moral,alta
meu namorado me bateu no rosto e fugiu,fisica,media
meu marido não me deixa usar redes sociais,psicologica,media
ele me humilha dizendo que ninguém me suportaria,moral,media
meu companheiro me xinga de vagabunda na frente dos filhos pequenos,moral,media
ele diz que vou perder o casamento se não satisfazer suas necessidades,sexual,media
meu marido fica assistindo conteúdo inadequado perto das crianças,sexual,baixa
meu companheiro me cutucou no ombro durante toda a discussão,fisica,baixa
meu companheiro me faz sentir anormal por ter ciclos diferentes de desejo,sexual,media
meu companheiro postou na internet que sou ladra,moral,alta
ele reclama muito quando saio sem ele,psicologica,baixa
ele me trata como empregada na frente dos convidados,moral,media
ele me chutou repetidamente enquanto eu estava no chão,fisica,alta
ele não me deixa ter crediário em lojas,patrimonial,baixa
meu companheiro me pressiona a ter relações como forma de reconciliação,sexual,media
ele usou meu cartão de crédito e não pagou a fatura,patrimonial,media
"ele me bateu, me obrigou a ter relações forçadas e me ameaça todo dia de morte",mista,alta
meu companheiro tira meu anticoncepcional escondido da minha bolsa,sexual,media
ele não gosta quando expresso minha insatisfação com algo,psicologica,baixa
